종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
002810,삼영무역,"14,800","-50","0.34","14,850","14,800","21,285","317,614,000","14,650","15,050","14,650","500",원(KRW),"16,466,623","243,706,020,400",
005680,삼영전자,"12,300","-100","0.81","12,300","12,250","45,056","551,811,950","12,450","12,500","12,100","500",원(KRW),"20,000,000","246,000,000,000",
003720,삼영화학,"829","2","0.24","829","828","69,599","57,604,113","826","831","820","500",원(KRW),"34,000,000","28,186,000,000",
023000,삼원강재,"2,995","-10","0.33","3,000","2,995","8,849","26,218,780","3,005","3,010","2,945","500",원(KRW),"40,000,000","119,800,000,000",
004380,삼익THK,"12,400","100","0.81","12,450","12,400","97,356","1,211,652,550","12,250","12,700","12,050","500",원(KRW),"21,000,000","260,400,000,000",
002450,삼익악기,"1,945","0","0.00","1,945","1,940","312,025","604,092,395","1,950","1,955","1,925","500",원(KRW),"90,530,915","176,082,629,675",
000520,삼일제약,"21,900","-650","2.88","22,000","21,900","87,154","1,925,000,800","22,350","22,500","21,700","1,000",원(KRW),"6,500,000","142,350,000,000",
009770,삼정펄프,"35,750","-1,200","3.25","36,000","35,650","3,738","133,496,150","37,000","37,000","35,400","5,000",원(KRW),"2,499,971","89,373,963,250",
005500,삼진제약,"38,300","50","0.13","38,550","38,300","36,254","1,402,310,650","38,500","39,150","38,250","1,000",원(KRW),"13,900,000","532,370,000,000",
004690,삼천리,"100,000","-500","0.50","100,500","100,000","2,564","256,513,900","99,500","100,500","99,500","5,000",원(KRW),"4,055,025","405,502,500,000",
001880,삼호,"15,500","0","0.00","15,500","15,400","3,522","55,176,350","16,000","16,000","15,350","5,000",원(KRW),"15,179,766","235,286,373,000",
010960,삼호개발,"6,050","140","2.37","6,060","6,050","353,977","2,110,893,600","5,910","6,120","5,820","500",원(KRW),"25,000,000","151,250,000,000",
004450,삼화왕관,"46,900","-50","0.11","47,000","46,900","217","10,204,300","47,300","47,300","46,900","5,000",원(KRW),"2,154,379","101,040,375,100",
009470,삼화전기,"24,050","-250","1.03","24,100","24,050","136,610","3,302,661,800","24,450","24,750","23,800","1,000",원(KRW),"6,613,820","159,062,371,000",
011230,삼화전자,"2,900","-25","0.85","2,900","2,890","111,789","320,407,650","2,930","2,940","2,750","1,000",원(KRW),"10,457,940","30,328,026,000",
001820,삼화콘덴서,"66,500","1,200","1.84","66,500","66,400","286,013","19,011,804,400","65,300","67,200","65,300","1,000",원(KRW),"10,395,000","691,267,500,000",
000390,삼화페인트,"7,040","-70","0.98","7,050","7,030","23,116","163,293,160","7,080","7,120","6,990","500",원(KRW),"26,438,751","186,128,807,040",
041650,상신브레이크,"4,310","-10","0.23","4,310","4,305","25,406","109,484,295","4,320","4,330","4,290","500",원(KRW),"21,471,450","92,541,949,500",
075180,새론오토모티브,"5,310","10","0.19","5,310","5,250","3,054","16,160,780","5,310","5,360","5,250","500",원(KRW),"19,200,000","101,952,000,000",
007540,샘표,"34,300","-200","0.58","34,400","34,300","16,943","577,123,550","34,650","34,650","33,800","1,000",원(KRW),"2,875,800","98,639,940,000",
248170,샘표식품,"29,400","100","0.34","29,450","29,400","10,380","302,617,650","29,600","29,600","28,900","500",원(KRW),"4,568,286","134,307,608,400",
007860,서연,"4,245","-100","2.30","4,245","4,240","28,365","120,643,845","4,340","4,360","4,220","500",원(KRW),"23,479,844","99,671,937,780",
200880,서연이화,"5,080","-130","2.50","5,080","5,070","167,618","849,904,360","5,210","5,240","5,000","500",원(KRW),"27,028,437","137,304,459,960",
017390,서울가스,"83,700","100","0.12","84,300","83,600","195","16,392,400","84,900","84,900","83,600","5,000",원(KRW),"5,000,000","418,500,000,000",
004410,서울식품,"183","1","0.55","184","183","1,556,119","285,146,577","182","185","181","100",원(KRW),"337,410,000","61,746,030,000",
004415,서울식품우,"3,930","20","0.51","3,945","3,930","40,116","159,324,435","3,930","4,045","3,925","100",원(KRW),"2,224,500","8,742,285,000",
021050,서원,"1,195","20","1.70","1,195","1,190","229,858","272,116,190","1,175","1,200","1,160","500",원(KRW),"47,474,590","56,732,135,050",
008490,서흥,"24,700","-850","3.33","24,850","24,700","23,335","580,493,150","25,650","25,650","24,650","500",원(KRW),"11,569,113","285,757,091,100",
007610,선도전기,"5,790","340","6.24","5,790","5,780","945,675","5,379,790,890","5,510","5,840","5,480","500",원(KRW),"18,000,000","104,220,000,000",
