종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
065170,넥스트BT,"1,805","-125","6.48","1,820","1,805","1,534,118","2,821,640,750","1,885","1,905","1,780","500",원(KRW),"61,587,062","111,164,646,910",
139670,넥스트리밍,"3,150","0","0.00","3,165","3,150","66,878","211,075,930","3,170","3,250","3,100","500",원(KRW),"7,016,911","22,103,269,650",
137940,넥스트아이,"2,315","20","0.87","2,315","2,310","74,843","172,425,085","2,310","2,325","2,280","100",원(KRW),"77,116,173","178,523,940,495",
041140,넥슨지티,"14,050","450","3.31","14,050","14,000","1,893,117","26,026,823,800","13,800","14,300","13,250","500",원(KRW),"35,373,322","496,995,174,100",
217270,넵튠,"12,350","-200","1.59","12,350","12,300","57,342","714,687,000","12,600","12,800","12,150","500",원(KRW),"21,377,405","264,010,951,750",
225570,넷게임즈,"13,350","-700","4.98","13,400","13,350","2,725,863","37,153,345,750","14,500","14,550","13,100","500",원(KRW),"24,003,428","320,445,763,800",
104620,노랑풍선,"29,200","-2,700","8.46","29,250","29,200","644,078","19,336,438,700","32,050","32,150","28,900","500",원(KRW),"4,765,650","139,156,980,000",
194700,노바렉스,"18,200","-250","1.36","18,250","18,200","78,963","1,444,936,250","18,600","18,900","18,000","500",원(KRW),"9,003,740","163,868,068,000",
285490,노바텍,"20,050","0","0.00","20,100","20,050","53,780","1,077,804,650","20,000","20,350","19,800","500",원(KRW),"4,626,800","92,767,340,000",
144510,녹십자랩셀,"45,200","-550","1.20","45,250","45,200","42,726","1,936,646,800","45,750","46,000","45,050","500",원(KRW),"10,554,054","477,043,240,800",
031390,녹십자셀,"49,900","-400","0.80","50,000","49,900","106,330","5,310,759,600","50,500","50,700","49,600","500",원(KRW),"11,867,819","592,204,168,100",
142280,녹십자엠에스,"13,600","-100","0.73","13,650","13,600","180,074","2,473,763,450","13,700","14,100","13,500","500",원(KRW),"9,560,000","130,016,000,000",
065560,녹원씨엔아이,"9,610","10","0.10","9,610","9,600","86,462","826,670,610","9,650","9,650","9,470","500",원(KRW),"14,867,550","142,877,155,500",
054050,농우바이오,"13,850","450","3.36","13,850","13,800","221,969","3,026,927,050","13,450","13,850","13,300","500",원(KRW),"16,030,561","222,023,269,850",
040160,누리텔레콤,"6,320","-210","3.22","6,380","6,320","71,707","455,972,750","6,520","6,530","6,290","500",원(KRW),"12,055,535","76,190,981,200",
069140,누리플랜,"6,950","60","0.87","6,960","6,950","324,926","2,303,062,440","6,890","7,570","6,770","500",원(KRW),"4,751,401","33,022,236,950",
126870,뉴로스,"9,080","-420","4.42","9,090","9,080","3,111,811","28,179,472,090","9,410","9,510","8,650","500",원(KRW),"19,401,592","176,166,455,360",
060260,뉴보텍,"1,475","-10","0.67","1,480","1,475","457,606","672,227,950","1,485","1,495","1,455","500",원(KRW),"26,863,919","39,624,280,525",
012340,뉴인텍,"1,020","0","0.00","1,020","1,015","1,155,216","1,173,775,435","1,020","1,035","1,000","500",원(KRW),"54,133,507","55,216,177,140",
270870,뉴트리,"15,300","-150","0.97","15,350","15,300","205,896","3,152,795,500","15,600","15,700","14,800","500",원(KRW),"9,032,224","138,193,027,200",
222040,뉴트리바이오텍,"15,500","-250","1.59","15,500","15,450","69,756","1,081,469,350","15,650","15,800","15,250","500",원(KRW),"20,628,000","319,734,000,000",
144960,뉴파워프라즈마,"14,050","-400","2.77","14,050","14,000","22,856","325,281,400","14,350","14,700","13,900","500",원(KRW),"8,250,337","115,917,234,850",
900100,뉴프라이드,"2,110","-20","0.94","2,115","2,110","1,428,876","3,033,706,470","2,115","2,150","2,110","0.3",미국센트(USC),"87,747,266","185,146,731,260",
085670,뉴프렉스,"3,275","-55","1.65","3,275","3,270","271,113","899,156,540","3,330","3,365","3,275","500",원(KRW),"21,156,039","69,286,027,725",
119860,다나와,"17,600","-150","0.85","17,650","17,600","29,276","513,954,350","17,650","17,750","17,250","500",원(KRW),"13,074,822","230,116,867,200",
064260,다날,"3,630","-40","1.09","3,630","3,625","177,770","644,145,210","3,675","3,680","3,605","500",원(KRW),"54,374,654","197,379,994,020",
093640,다믈멀티미디어,"4,385","15","0.34","4,385","4,370","420,886","1,899,377,450","4,430","4,735","4,330","500",원(KRW),"7,945,470","34,840,885,950",
039560,다산네트웍스,"6,500","70","1.09","6,510","6,500","226,253","1,457,183,140","6,460","6,530","6,360","500",원(KRW),"29,937,901","194,596,356,500",
032190,다우데이타,"9,850","-150","1.50","9,890","9,850","51,637","510,137,470","10,050","10,050","9,780","500",원(KRW),"38,300,000","377,255,000,000",
068240,다원시스,"15,850","150","0.96","15,850","15,800","273,822","4,328,771,950","15,800","16,100","15,600","500",원(KRW),"26,101,057","413,701,753,450",
020400,대동금속,"52,200","200","0.38","52,200","51,500","467","24,086,600","52,000","52,300","50,500","5,000",원(KRW),"480,000","25,056,000,000",
008830,대동기어,"28,400","200","0.71","28,400","28,200","230","6,523,600","28,400","28,400","27,950","5,000",원(KRW),"898,752","25,524,556,800",
048470,대동스틸,"13,200","450","3.53","13,200","13,150","654,947","8,607,784,300","12,950","13,450","12,900","500",원(KRW),"10,000,000","132,000,000,000",
004780,대륙제관,"5,410","-40","0.73","5,410","5,400","66,980","357,945,360","5,430","5,490","5,290","500",원(KRW),"15,903,199","86,036,306,590",
017650,대림제지,"1,530","5","0.33","1,535","1,530","261,080","400,151,890","1,530","1,540","1,525","100",원(KRW),"45,000,000","68,850,000,000",
007720,대명코퍼레이션,"2,680","-60","2.19","2,685","2,680","5,707,656","15,430,740,785","2,665","2,800","2,585","500",원(KRW),"100,800,450","270,145,206,000",
290670,대보마그네틱,"62,800","-100","0.16","62,900","62,800","13,466","845,962,500","62,800","63,400","62,500","500",원(KRW),"3,232,600","203,007,280,000",
078140,대봉엘에스,"7,180","50","0.70","7,220","7,180","81,280","590,156,460","7,120","7,370","7,120","500",원(KRW),"11,086,579","79,601,637,220",
036480,대성미생물,"19,850","-900","4.34","19,900","19,850","509,248","10,465,139,400","21,000","21,500","19,750","500",원(KRW),"3,800,000","75,430,000,000",
025440,대성엘텍,"863","2","0.23","864","863","101,994","87,909,952","857","874","855","500",원(KRW),"99,661,343","86,007,739,009",
027830,대성창투,"1,750","-15","0.85","1,755","1,750","271,600","476,857,230","1,765","1,790","1,740","500",원(KRW),"40,000,000","70,000,000,000",
104040,대성파인텍,"1,740","-10","0.57","1,745","1,740","267,686","464,469,930","1,750","1,760","1,725","100",원(KRW),"31,301,281","54,464,228,940",
262830,대신밸런스제4호스팩,"2,065","0","0.00","0","0","0","0","0","0","0","100",원(KRW),"5,010,000","10,345,650,000",
303030,대신밸런스제5호스팩,"2,070","0","0.00","0","0","0","0","0","0","0","100",원(KRW),"4,110,000","8,507,700,000",
307750,대신밸런스제6호스팩,"2,015","-5","0.25","2,020","2,015","2,641","5,323,120","2,020","2,020","2,015","100",원(KRW),"5,010,000","10,095,150,000",
020180,대신정보통신,"1,700","60","3.66","1,700","1,695","7,339,311","12,414,337,215","1,630","1,740","1,630","500",원(KRW),"38,428,915","65,329,155,500",
045390,대아티아이,"9,920","1,470","17.40","9,920","9,910","51,712,415","499,441,286,810","8,520","10,300","8,510","100",원(KRW),"71,151,522","705,823,098,240",
108380,대양전기공업,"13,550","-250","1.81","13,650","13,550","41,826","578,409,950","13,900","14,050","13,500","500",원(KRW),"9,567,333","129,637,362,150",
006580,대양제지,"3,510","-50","1.40","3,510","3,500","128,843","490,384,670","3,590","3,590","3,475","500",원(KRW),"26,850,000","94,243,500,000",
007680,대원,"11,400","150","1.33","11,400","11,350","14,000","158,600,000","11,250","11,400","11,200","500",원(KRW),"11,050,000","125,970,000,000",
048910,대원미디어,"9,350","150","1.63","9,350","9,330","117,031","1,096,112,890","9,260","9,430","9,180","500",원(KRW),"12,578,946","117,613,145,100",
005710,대원산업,"5,870","60","1.03","5,870","5,850","20,950","122,577,860","5,900","5,910","5,790","500",원(KRW),"20,037,600","117,620,712,000",
290380,대유,"23,950","750","3.23","23,950","23,900","520,916","12,406,127,900","23,600","24,300","23,150","500",원(KRW),"9,052,400","216,804,980,000",
290120,대유에이피,"4,530","-30","0.66","4,540","4,530","91,510","415,014,720","4,540","4,580","4,520","500",원(KRW),"10,884,000","49,304,520,000",
071460,대유위니아,"2,765","65","2.41","2,765","2,755","129,388","357,097,130","2,705","2,790","2,680","500",원(KRW),"35,967,295","99,449,570,675",
120240,대정화금,"13,050","-50","0.38","13,050","13,000","21,519","279,225,850","13,100","13,150","12,900","500",원(KRW),"7,100,391","92,660,102,550",
003310,대주산업,"1,575","-15","0.94","1,580","1,575","319,138","507,380,680","1,615","1,615","1,570","500",원(KRW),"35,392,350","55,742,951,250",
078600,대주전자재료,"19,600","0","0.00","19,700","19,600","91,755","1,816,981,400","19,600","20,150","19,550","500",원(KRW),"14,551,225","285,204,010,000",
065690,대진디엠피,"3,175","-35","1.09","3,185","3,175","38,282","121,557,495","3,185","3,200","3,155","500",원(KRW),"13,963,509","44,334,141,075",
096350,대창솔루션,"998","-12","1.19","1,000","998","532,376","531,893,694","1,000","1,010","990","100",원(KRW),"108,455,315","108,238,404,370",
140520,대창스틸,"3,165","45","1.44","3,170","3,165","425,733","1,375,265,320","3,125","3,340","3,115","500",원(KRW),"20,000,000","63,300,000,000",
131220,대한과학,"4,975","30","0.61","4,980","4,975","10,081","50,064,035","4,950","4,995","4,945","500",원(KRW),"7,454,490","37,086,087,750",
010170,대한광통신,"5,180","10","0.19","5,190","5,180","826,433","4,289,421,960","5,170","5,240","5,160","500",원(KRW),"73,741,625","381,981,617,500",
054670,대한뉴팜,"10,950","-100","0.90","10,950","10,900","143,274","1,570,042,700","11,200","11,250","10,800","500",원(KRW),"14,354,920","157,186,374,000",
023910,대한약품,"37,500","-50","0.13","37,500","37,450","7,140","268,708,000","37,600","37,950","37,350","500",원(KRW),"6,000,000","225,000,000,000",
021040,대호피앤씨,"1,160","5","0.43","1,165","1,160","1,318,067","1,534,483,825","1,155","1,175","1,150","500",원(KRW),"73,112,826","84,810,878,160",
021045,대호피앤씨우,"1,615","30","1.89","1,635","1,615","98,292","159,682,595","1,590","1,670","1,580","500",원(KRW),"4,242,466","6,851,582,590",
067080,대화제약,"20,750","-250","1.19","20,800","20,750","73,378","1,528,199,100","20,900","21,200","20,650","500",원(KRW),"18,224,974","378,168,210,500",
192080,더블유게임즈,"56,300","400","0.72","56,300","56,200","61,666","3,441,449,800","55,800","56,500","55,100","500",원(KRW),"18,247,298","1,027,322,877,400",
035290,더블유에프엠,"4,180","290","7.46","4,185","4,180","249,942","1,035,375,405","3,945","4,250","3,895","500",원(KRW),"22,761,247","95,142,012,460",
213420,덕산네오룩스,"17,050","-50","0.29","17,050","17,000","243,754","4,134,641,150","17,100","17,200","16,750","200",원(KRW),"24,010,012","409,370,704,600",
077360,덕산하이메탈,"5,100","-60","1.16","5,130","5,100","16,491","84,722,540","5,230","5,230","5,100","200",원(KRW),"22,718,501","115,864,355,100",
090410,덕신하우징,"1,770","-10","0.56","1,770","1,765","583,196","1,021,978,685","1,770","1,805","1,720","100",원(KRW),"40,060,000","70,906,200,000",
263600,덕우전자,"9,900","-10","0.10","9,900","9,810","8,498","84,201,510","9,910","10,100","9,800","500",원(KRW),"8,110,066","80,289,653,400",
194480,데브시스터즈,"9,000","50","0.56","9,000","8,950","4,646","41,818,160","8,990","9,090","8,860","500",원(KRW),"11,204,370","100,839,330,000",
