번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분
720,036810,에프에스티,032602,전자부품 제조업,"20,233,814","10,116,907,000","500",원(KRW)
721,173940,에프엔씨엔터,105902,오디오물 출판 및 원판 녹음업,"14,364,880","7,182,440,000","500",원(KRW)
722,083500,에프엔에스테크,032902,특수 목적용 기계 제조업,"7,015,485","3,507,742,500","500",원(KRW)
723,065160,에프티이앤이,032005,화학섬유 제조업,"67,990,951","33,995,475,500","500",원(KRW)
724,054940,엑사이엔씨,064204,실내건축 및 건축마무리 공사업,"33,173,548","16,586,774,000","500",원(KRW)
725,950130,엑세스바이오,032103,의료용품 및 기타 의약 관련제품 제조업,"27,064,930","0","0",미국달러(USD)
726,205100,엑셈,105802,소프트웨어 개발 및 공급업,"33,249,362","3,324,936,200","100",원(KRW)
727,092870,엑시콘,032902,특수 목적용 기계 제조업,"8,883,500","4,441,750,000","500",원(KRW)
728,067570,엔브이에이치코리아,033003,자동차 신품 부품 제조업,"28,722,222","14,361,111,000","500",원(KRW)
729,101400,엔시트론,032601,반도체 제조업,"103,483,401","10,348,340,100","100",원(KRW)
730,217820,엔에스,032902,특수 목적용 기계 제조업,"4,900,000","2,450,000,000","500",원(KRW)
731,031860,엔에스엔,074608,상품 종합 도매업,"21,072,604","10,536,302,000","500",원(KRW)
732,256630,엔에이치스팩10호,116601,금융 지원 서비스업,"7,000,000","700,000,000","100",원(KRW)
733,256840,엔에이치스팩11호,116601,금융 지원 서비스업,"6,830,000","683,000,000","100",원(KRW)
734,273060,엔에이치스팩12호,116601,금융 지원 서비스업,"7,510,000","751,000,000","100",원(KRW)
735,310840,엔에이치스팩13호,116601,금융 지원 서비스업,"3,420,000","342,000,000","100",원(KRW)
736,208860,엔지스테크널러지,105802,소프트웨어 개발 및 공급업,"9,381,540","4,690,770,000","500",원(KRW)
737,183490,엔지켐생명과학,032101,기초 의약물질 및 생물학적 제제 제조업,"7,731,994","3,865,997,000","500",원(KRW)
738,206400,엔터메이트,105802,소프트웨어 개발 및 공급업,"45,435,833","4,543,583,300","100",원(KRW)
739,069410,엔텔스,105802,소프트웨어 개발 및 공급업,"6,899,227","3,449,613,500","500",원(KRW)
740,048830,엔피케이,032002,합성고무 및 플라스틱 물질 제조업,"18,723,923","9,361,961,500","500",원(KRW)
741,096870,엘디티,032601,반도체 제조업,"6,678,400","3,339,200,000","500",원(KRW)
742,061970,엘비세미콘,032601,반도체 제조업,"43,784,592","21,892,296,000","500",원(KRW)
743,138690,엘아이에스,032902,특수 목적용 기계 제조업,"15,529,605","7,764,802,500","500",원(KRW)
744,290650,엘앤씨바이오,032102,의약품 제조업,"7,234,332","3,617,166,000","500",원(KRW)
745,066970,엘앤에프,032802,일차전지 및 축전지 제조업,"24,757,675","12,378,837,500","500",원(KRW)
746,156100,엘앤케이바이오,032701,의료용 기기 제조업,"10,778,736","5,389,368,000","500",원(KRW)
747,073110,엘엠에스,032703,사진장비 및 광학기기 제조업,"8,895,755","4,522,877,500","500",원(KRW)
748,083310,엘오티베큠,032902,특수 목적용 기계 제조업,"13,258,256","6,629,128,000","500",원(KRW)
749,037950,엘컴텍,032602,전자부품 제조업,"84,447,519","42,223,759,500","500",원(KRW)
