번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분
200,003490,대한항공,085101,항공 여객 운송업,"94,844,634","479,777,140,000","5,000",원(KRW)
201,005880,대한해운,085001,해상 운송업,"24,426,504","122,132,520,000","5,000",원(KRW)
202,003830,대한화섬,032005,화학섬유 제조업,"1,328,000","6,640,000,000","5,000",원(KRW)
203,016090,대현,031401,봉제의복 제조업,"44,282,310","26,906,155,000","500",원(KRW)
204,069460,대호에이엘,032402,1차 비철금속 제조업,"27,134,839","13,567,419,500","500",원(KRW)
205,012510,더존비즈온,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","29,672,700","14,836,350,000","500",원(KRW)
206,004830,덕성,032202,플라스틱제품 제조업,"15,680,000","8,536,000,000","500",원(KRW)
207,024900,덕양산업,033003,자동차 신품 부품 제조업,"32,564,980","16,282,490,000","500",원(KRW)
208,145720,덴티움,032701,의료용 기기 제조업,"11,068,830","6,184,415,000","500",원(KRW)
209,002150,도화엔지니어링,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업","33,720,000","16,860,000,000","500",원(KRW)
210,001620,동국실업,033003,자동차 신품 부품 제조업,"53,312,072","26,656,036,000","500",원(KRW)
211,001230,동국제강,032401,1차 철강 제조업,"95,432,737","589,228,035,000","5,000",원(KRW)
212,023450,동남합성,032001,기초 화학물질 제조업,"1,320,922","7,919,280,000","5,000",원(KRW)
213,004140,동방,084903,도로 화물 운송업,"33,465,588","33,465,588,000","1,000",원(KRW)
214,007590,동방아그로,032003,"비료, 농약 및 살균, 살충제 제조업","13,617,577","6,808,788,500","500",원(KRW)
215,005960,동부건설,064102,토목 건설업,"20,867,152","105,464,420,000","5,000",원(KRW)
216,016380,동부제철,032401,1차 철강 제조업,"27,233,424","136,967,900,000","5,000",원(KRW)
217,083370,동북아12호선박투자,147601,운송장비 임대업,"1,585,660","7,928,300,000","5,000",원(KRW)
218,083380,동북아13호선박투자,147601,운송장비 임대업,"1,585,660","7,928,300,000","5,000",원(KRW)
219,026960,동서,074603,음·식료품 및 담배 도매업,"99,700,000","49,850,000,000","500",원(KRW)
220,002210,동성제약,032102,의약품 제조업,"24,756,574","24,756,574,000","1,000",원(KRW)
221,102260,동성코퍼레이션,137105,회사 본부 및 경영 컨설팅 서비스업,"45,444,970","45,444,970,000","1,000",원(KRW)
222,005190,동성화학,032001,기초 화학물질 제조업,"5,335,564","5,531,244,000","1,000",원(KRW)
223,000640,동아쏘시오홀딩스,116409,기타 금융업,"6,138,294","30,691,470,000","5,000",원(KRW)
224,170900,동아에스티,032102,의약품 제조업,"8,443,868","42,219,340,000","5,000",원(KRW)
225,028100,동아지질,064201,기반조성 및 시설물 축조관련 전문공사업,"11,500,000","5,750,000,000","500",원(KRW)
226,282690,동아타이어,032201,고무제품 제조업,"13,733,015","6,866,507,500","500",원(KRW)
227,001520,동양,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업","238,684,063","119,850,042,500","500",원(KRW)
228,084670,동양고속,084902,육상 여객 운송업,"2,895,569","16,959,295,000","5,000",원(KRW)
229,030790,동양네트웍스,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","95,341,270","47,670,635,000","500",원(KRW)
230,002900,동양물산기업,032902,특수 목적용 기계 제조업,"65,388,900","32,694,450,000","500",원(KRW)
231,082640,동양생명,116501,보험업,"161,358,585","806,792,925,000","5,000",원(KRW)
232,008970,동양철관,032401,1차 철강 제조업,"118,885,290","59,442,645,000","500",원(KRW)
233,092780,동양피스톤,033001,자동차용 엔진 및 자동차 제조업,"13,168,460","6,584,230,000","500",원(KRW)
234,049770,동원F&B,031007,기타 식품 제조업,"3,859,124","19,295,620,000","5,000",원(KRW)
235,018500,동원금속,033003,자동차 신품 부품 제조업,"46,754,933","23,377,466,500","500",원(KRW)
236,006040,동원산업,010301,어로 어업,"3,363,200","16,816,000,000","5,000",원(KRW)
237,030720,동원수산,010301,어로 어업,"4,653,805","23,269,025,000","5,000",원(KRW)
238,014820,동원시스템즈,032202,플라스틱제품 제조업,"25,618,511","129,419,345,000","5,000",원(KRW)
239,163560,동일고무벨트,032201,고무제품 제조업,"13,000,000","6,500,000,000","500",원(KRW)
240,001530,동일방직,031301,방적 및 가공사 제조업,"2,378,309","11,891,545,000","5,000",원(KRW)
241,004890,동일산업,032401,1차 철강 제조업,"2,425,215","12,126,075,000","5,000",원(KRW)
242,002690,동일제강,032401,1차 철강 제조업,"15,000,000","7,500,000,000","500",원(KRW)
243,000020,동화약품,032102,의약품 제조업,"27,931,470","27,931,470,000","1,000",원(KRW)
244,000150,두산,137105,회사 본부 및 경영 컨설팅 서비스업,"18,238,102","134,845,735,000","5,000",원(KRW)
245,011160,두산건설,064101,건물 건설업,"73,326,089","46,663,044,500","500",원(KRW)
246,241560,두산밥캣,116409,기타 금융업,"100,249,166","50,124,583,000","500",원(KRW)
247,042670,두산인프라코어,032902,특수 목적용 기계 제조업,"208,158,077","1,040,790,385,000","5,000",원(KRW)
248,034020,두산중공업,032901,일반 목적용 기계 제조업,"117,146,803","585,734,015,000","5,000",원(KRW)
249,016740,두올,033003,자동차 신품 부품 제조업,"27,066,680","67,666,700,000","2,500",원(KRW)
250,024090,디씨엠,032401,1차 철강 제조업,"11,700,000","6,000,000,000","500",원(KRW)
251,003160,디아이,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","31,496,785","17,248,392,500","500",원(KRW)
252,092200,디아이씨,033003,자동차 신품 부품 제조업,"22,467,410","11,233,705,000","500",원(KRW)
253,013570,디와이,116409,기타 금융업,"26,319,633","13,159,816,500","500",원(KRW)
254,210540,디와이파워,032902,특수 목적용 기계 제조업,"11,041,708","5,520,854,000","500",원(KRW)
255,007340,디티알오토모티브,032802,일차전지 및 축전지 제조업,"9,994,005","4,997,002,500","500",원(KRW)
256,026890,디피씨,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","41,678,175","20,839,087,500","500",원(KRW)
257,115390,락앤락,032202,플라스틱제품 제조업,"54,186,600","27,500,000,000","500",원(KRW)
258,032350,롯데관광개발,147502,여행사 및 기타 여행보조 서비스업,"65,403,688","32,701,844,000","500",원(KRW)
259,000400,롯데손해보험,116501,보험업,"134,280,000","134,280,000,000","1,000",원(KRW)
260,023530,롯데쇼핑,074701,종합 소매업,"28,288,755","141,443,775,000","5,000",원(KRW)
